,Title,Text,URL
0,Embedding data science at LSE,"Embedding data science at LSE  Professor Ken Benoit, Baroness Minouche Shafik, and Professor Susana Mourato introduce the DSI 
                                                     Watch the video",#media
1,DSI News,"DSI News  DSI's inaugural Director, Professor Ken Benoit, steps down after four years",/DSI/News/DSI-Announcement
2,Turing University Network,Turing University Network  LSE part of a new network of UK universities with an interest in data science and AI,/DSI/Turing-University-Network
3,Study Data Science and AI at LSE,Study Data Science and AI at LSE  Explore all the options from undergraduate to online short courses and much more,/DSI/study
4,BSc Politics and Data Science,BSc Politics and Data Science  Combine rigorous training in political science with a good understanding of applied data science met,https://www.lse.ac.uk/study-at-lse/Undergraduate/Degree-programmes-2022/BSc-Politics-and-Data-Science
5,Executive Courses,"Executive Courses  Leverage data science and AI to make informed, intelligent decisions",https://www.lse.ac.uk/study-at-lse/executive-education/programmes/data-science-for-executives
6,Events,Events  Explore all of our upcoming and past events,/DSI/Events
7,Upcoming Event,"Upcoming Event  Beveridge 2.0: AI and Data Science for Public Policy Symposium 
                             Wed 8 May",https://www.lse.ac.uk/school-of-public-policy/events/2023-24/Beveridge-2.0-AI-and-Data-Science-for-Public-Policy
8,Event Recording,Event Recording  Developing AI Literacy in the classroom and beyond,https://youtu.be/hwrvimZuU0w?si=tIrsFRqMvMn9ToOS
9,Event Podcast,Event Podcast  What is means to be a human in a world changed by AI,https://www.lse.ac.uk/lse-player?id=1ea831b4-3d9b-4109-bdbb-927cfcf6b740
10,Blog,Blog  Exploring the potential of artificial intelligence as a student at LSE,https://blogs.lse.ac.uk/studentsatlse/2024/04/10/exploring-artificial-intelligence-as-a-student-at-lse/
11,Blog,Blog  What role should AI play in global health?,https://blogs.lse.ac.uk/europpblog/2024/03/22/what-role-should-ai-play-in-global-health/
12,LSE Festival 2024,"LSE Festival 2024  AI guardians: who holds power over our data 
                             Sat 15 Jun",https://www.lse.ac.uk/Events/LSE-Festival/2024/0615/AI
13,Generative AI and the Knowledge Economy,"Generative AI and the Knowledge Economy  24-25 May 2023 
                                     Catch up on this two-day symposium co-hosted by Imperial College London and LSE",https://www.imperial.ac.uk/data-science/partnerships/dsi-squared---imperial-x-lse/generative-ai-and-the-knowledge-economy-symposium/
